"PRODUCT_ID","PRODUCT_NAME","DEPARTMENT_ID","PRICE"
1,"iPhone 14",1,999.00
2,"Samsung Galaxy S23",1,899.00
3,"MacBook Pro",2,1999.00
4,"Dell XPS 13",2,1499.00
5,"Blender",3,120.00
6,"Microwave",3,200.00
7,"Sofa",4,800.00
8,"Dining Table",4,600.00
9,"Men T-Shirt",5,25.00
10,"Men Jeans",5,60.00
11,"Women Dress",6,80.00
12,"Women Jacket",6,150.00
13,"Treadmill",7,1200.00
14,"Dumbbells Set",7,150.00
15,"Camping Tent",8,300.00
16,"Hiking Backpack",8,120.00
17,"Mystery Novel",9,20.00
18,"Science Textbook",10,95.00
19,"Cookbook",10,40.00
20,"Yoga Mat",7,35.00
